LOR_Schluessel,Bezeichnung,Raub_2018,Koerperverletzungen_2018,Diebstahl_Kraftwagen_2018,Diebstahl_an/aus_Kfz_2018,Fahrraddiebstahl_2018,Wohnraumeinbruch_2018,Branddelikte_2018,Sachbeschaedigung_2018,Rauschgiftdelikte_2018,Raub_2019,Koerperverletzungen_2019,Diebstahl_Kraftwagen_2019,Diebstahl_an/aus_Kfz_2019,Fahrraddiebstahl_2019,Wohnraumeinbruch_2019,Branddelikte_2019,Sachbeschaedigung_2019,Rauschgiftdelikte_2019,Raub_2020,Koerperverletzungen_2020,Diebstahl_Kraftwagen_2020,Diebstahl_an/aus_Kfz_2020,Fahrraddiebstahl_2020,Wohnraumeinbruch_2020,Branddelikte_2020,Sachbeschaedigung_2020,Rauschgiftdelikte_2020,Raub_2021,Koerperverletzungen_2021,Diebstahl_Kraftwagen_2021,Diebstahl_an/aus_Kfz_2021,Fahrraddiebstahl_2021,Wohnraumeinbruch_2021,Branddelikte_2021,Sachbeschaedigung_2021,Rauschgiftdelikte_2021,Raub_2022,Koerperverletzungen_2022,Diebstahl_Kraftwagen_2022,Diebstahl_an/aus_Kfz_2022,Fahrraddiebstahl_2022,Wohnraumeinbruch_2022,Branddelikte_2022,Sachbeschaedigung_2022,Rauschgiftdelikte_2022,Raub_2023,Koerperverletzungen_2023,Diebstahl_Kraftwagen_2023,Diebstahl_an/aus_Kfz_2023,Fahrraddiebstahl_2023,Wohnraumeinbruch_2023,Branddelikte_2023,Sachbeschaedigung_2023,Rauschgiftdelikte_2023
104009,Mahlsdorf,21,391,62,474,464,235,3,561,45,7,291,123,291,267,291,31,646,99,37,403,115,271,355,281,14,541,95,30,306,71,295,312,208,47,645,91,69,343,115,412,336,267,36,603,69,26,315,69,298,289,485,36,675,98
111001,Malchow,84,716,84,147,274,568,126,695,42,20,444,20,242,202,282,101,645,121,56,753,132,377,697,395,75,621,75,19,542,94,206,224,94,37,991,94,94,865,31,425,252,456,126,629,94,62,"1,105",16,436,249,436,93,638,78
111002,Neu-Hohenschönhausen Nord,58,973,182,418,233,89,79,833,271,37,"1,173",177,255,180,58,95,853,228,47,"1,013",91,431,330,67,81,"1,151",283,34,"1,127",44,427,249,37,44,952,272,83,945,67,416,140,123,70,845,213,144,"1,129",184,762,276,144,76,"1,057",200
111003,Neu-Hohenschönhausen Süd,89,"1,300",185,661,388,107,63,986,163,73,"1,179",220,529,323,81,77,937,92,107,"1,124",118,638,240,59,107,"1,209",188,117,"1,114",106,641,234,62,95,"1,030",205,116,"1,198",123,677,156,65,138,"1,187",156,189,"1,259",274,939,324,181,85,"1,213",249
112004,Alt-Hohenschönhausen Nord,49,"1,279",160,578,264,258,74,"1,211",197,98,"1,167",208,800,373,214,43,"1,045",147,90,"1,105",126,"1,129",402,198,132,"1,123",264,47,"1,264",148,"1,074",332,166,137,"1,110",338,153,"1,193",123,"1,017",300,276,47,987,159,98,"1,500",290,"1,135",469,342,70,"1,101",249
112005,Alt-Hohenschönhausen Süd,34,774,320,678,364,159,47,721,96,55,785,259,659,437,92,28,699,111,37,663,137,678,614,110,49,779,122,51,647,170,719,510,92,45,883,173,82,931,308,849,385,188,70,723,141,99,952,329,"1,254",538,230,58,806,116
113006,Fennpfuhl,39,963,224,692,483,143,60,915,134,62,917,174,507,389,133,71,"1,026",133,94,938,150,767,569,127,47,"1,162",133,86,751,131,673,358,80,80,"1,138",140,103,882,247,885,400,153,59,"1,126",123,93,"1,079",340,"1,129",390,180,32,"1,295",201
113007,Alt-Lichtenberg,105,"1,525",220,886,813,131,89,"1,145",259,211,"1,595",298,788,669,102,122,"1,361",307,155,"1,707",127,803,783,108,89,"1,684",279,124,"1,319",188,"1,001",682,86,166,"1,724",395,94,"1,623",266,"1,071",842,166,202,"1,533",281,142,"1,710",319,"1,217",750,151,106,"1,173",384
113008,Frankfurter Allee Süd,109,"1,698",218,884,"1,003",139,60,"1,797",844,198,"1,575",337,614,901,50,99,"1,694",872,169,"1,695",150,"1,515",638,140,30,"2,033",718,142,"1,421",294,914,548,71,71,"1,716",640,243,"1,486",263,"1,446",718,222,71,"2,224",647,299,"1,958",318,"1,900",550,183,154,"1,794",714
114009,Neu-Lichtenberg,88,"1,066",148,497,"1,029",209,58,"1,202",176,95,"1,025",155,309,"1,091",104,45,"1,221",143,77,901,77,321,819,88,71,"1,234",218,73,911,138,457,632,120,64,"1,092",255,106,958,121,516,829,75,26,967,181,108,913,181,530,856,125,57,913,187
